"","postcode","suburb","Year","OffenceDivision","OffenceSubdivision","OffenceSubgroup","IncidentsRecorded","lat","lon"
"185811",3579,"KERANG",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.735049,143.918869
"185815",3579,"KERANG",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-35.735049,143.918869
"185819",3579,"KERANG",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-35.735049,143.918869
"185824",3579,"KERANG",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",35,-35.735049,143.918869
"185844",3579,"KERANG",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",549,-35.735049,143.918869
"185845",3579,"KERANG EAST",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.786359,144.019485
"185850",3579,"KOROOP",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.743107,144.07558
"185867",3579,"MACORNA",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.918792,144.028959
"185879",3579,"MURRABIT",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.527252,143.956969
"185914",3579,"MURRABIT",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.527252,143.956969
"185921",3579,"MURRABIT",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.527252,143.956969
"185946",3579,"MYALL",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.594342,143.996812
"185964",3579,"TEAL POINT",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.675259,144.072561
"185979",3579,"TRAGOWEL",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.856399,143.982847
"185981",3580,"KOONDROOK",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.64272,144.108584
"185995",3580,"KOONDROOK",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.64272,144.108584
"186016",3580,"KOONDROOK",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.64272,144.108584
"186028",3580,"KOONDROOK",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.64272,144.108584
"186054",3580,"KOONDROOK",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.64272,144.108584
"186091",3580,"KOONDROOK",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.64272,144.108584
"186092",3580,"KOONDROOK",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.64272,144.108584
"186093",3580,"KOONDROOK",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.64272,144.108584
"186095",3580,"KOONDROOK",2015,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-35.64272,144.108584
"186142",3583,"TRESCO",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.506577,143.638434
"186163",3583,"TRESCO",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.506577,143.638434
"186176",3583,"TRESCO",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.506577,143.638434
"186182",3583,"TRESCO",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.506577,143.638434
"186189",3584,"LAKE BOGA",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.461804,143.634454
"186191",3584,"LAKE BOGA",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.461804,143.634454
"186196",3584,"LAKE BOGA",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",380,-35.461804,143.634454
"186214",3584,"LAKE BOGA",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-35.461804,143.634454
"186227",3584,"LAKE BOGA",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.461804,143.634454
"186266",3584,"LAKE BOGA",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.461804,143.634454
"186303",3584,"LAKE BOGA",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.461804,143.634454
"186309",3584,"LAKE BOGA",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.461804,143.634454
"186311",3584,"LAKE BOGA",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.461804,143.634454
"186313",3584,"LAKE BOGA",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.461804,143.634454
"186318",3584,"LAKE BOGA",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.461804,143.634454
"186338",3584,"LAKE BOGA",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",380,-35.461804,143.634454
"186342",3584,"LAKE BOGA",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.461804,143.634454
"186357",3584,"TRESCO WEST",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.506577,143.638434
"186361",3585,"CASTLE DONNINGTON",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.418038,143.594275
"186365",3585,"CASTLE DONNINGTON",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.418038,143.594275
"186372",3585,"CASTLE DONNINGTON",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.418038,143.594275
"186377",3585,"CHILLINGOLLAH",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.26468,143.052602
"186378",3585,"CHILLINGOLLAH",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.26468,143.052602
"186391",3585,"MEATIAN",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.574939,143.340748
"186404",3585,"SWAN HILL",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",380,-35.336175,143.560181
"186418",3585,"SWAN HILL",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-35.336175,143.560181
"186444",3585,"SWAN HILL",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",182,-35.336175,143.560181
"186465",3585,"SWAN HILL",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.336175,143.560181
"186468",3585,"SWAN HILL",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.336175,143.560181
"186517",3585,"SWAN HILL",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",215,-35.336175,143.560181
"186556",3585,"SWAN HILL",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-35.336175,143.560181
"186565",3585,"SWAN HILL",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.336175,143.560181
"186567",3585,"SWAN HILL",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",509,-35.336175,143.560181
"186569",3585,"SWAN HILL",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",486,-35.336175,143.560181
"186576",3585,"SWAN HILL",2011,"C Drug offences","C30 Drug use and possession","C31 Drug use",601,-35.336175,143.560181
"186608",3585,"SWAN HILL",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-35.336175,143.560181
"186614",3585,"SWAN HILL",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-35.336175,143.560181
"186615",3585,"SWAN HILL",2016,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-35.336175,143.560181
"186631",3585,"SWAN HILL",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",90,-35.336175,143.560181
"186649",3585,"SWAN HILL",2009,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-35.336175,143.560181
"186651",3585,"SWAN HILL",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",478,-35.336175,143.560181
"186657",3585,"SWAN HILL",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.336175,143.560181
"186668",3585,"SWAN HILL",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-35.336175,143.560181
"186669",3585,"SWAN HILL",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",380,-35.336175,143.560181
"186674",3585,"SWAN HILL",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",306,-35.336175,143.560181
"186692",3585,"SWAN HILL",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.336175,143.560181
"186693",3585,"SWAN HILL",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",90,-35.336175,143.560181
"186696",3585,"SWAN HILL",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-35.336175,143.560181
"186698",3585,"SWAN HILL",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",160,-35.336175,143.560181
"186717",3585,"SWAN HILL",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",380,-35.336175,143.560181
"186737",3585,"SWAN HILL",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",79,-35.336175,143.560181
"186740",3585,"SWAN HILL",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",393,-35.336175,143.560181
"186758",3585,"SWAN HILL",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",469,-35.336175,143.560181
"186763",3585,"SWAN HILL",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",600,-35.336175,143.560181
"186764",3585,"SWAN HILL",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",478,-35.336175,143.560181
"186777",3585,"SWAN HILL",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",237,-35.336175,143.560181
"186782",3585,"SWAN HILL",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",478,-35.336175,143.560181
"186791",3585,"SWAN HILL",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-35.336175,143.560181
"186812",3585,"SWAN HILL",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-35.336175,143.560181
"186836",3585,"SWAN HILL",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",101,-35.336175,143.560181
"186846",3585,"SWAN HILL",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-35.336175,143.560181
"186855",3585,"SWAN HILL",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",46,-35.336175,143.560181
"186860",3585,"SWAN HILL",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",57,-35.336175,143.560181
"186861",3585,"SWAN HILL",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",348,-35.336175,143.560181
"186870",3585,"SWAN HILL",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",634,-35.336175,143.560181
"186910",3585,"SWAN HILL",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",306,-35.336175,143.560181
"186914",3585,"SWAN HILL",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-35.336175,143.560181
"186984",3586,"MURRAYDALE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.287843,143.561504
"187008",3586,"PENTAL ISLAND",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.367472,143.583706
"187027",3586,"TYNTYNDER",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.248047,143.551389
"187041",3586,"TYNTYNDER",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.248047,143.551389
"187052",3586,"TYNTYNDER",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.248047,143.551389
"187078",3588,"WOORINEN SOUTH",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.270527,143.454012
"187088",3588,"WOORINEN SOUTH",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.270527,143.454012
"187090",3588,"WOORINEN SOUTH",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.270527,143.454012
"187097",3588,"WOORINEN SOUTH",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.270527,143.454012
"187108",3589,"WOORINEN",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.264373,143.471892
"187121",3589,"WOORINEN",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.264373,143.471892
"187130",3589,"WOORINEN",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.264373,143.471892
"187148",3589,"WOORINEN",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.264373,143.471892
"187154",3589,"WOORINEN",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.264373,143.471892
"187192",3590,"BEVERFORD",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.235882,143.480953
"187202",3590,"BEVERFORD",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.235882,143.480953
"187210",3590,"BEVERFORD",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.235882,143.480953
"187216",3590,"BEVERFORD",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.235882,143.480953
"187234",3591,"VINIFERA",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.217734,143.405908
"187238",3591,"VINIFERA",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.217734,143.405908
"187248",3594,"NYAH",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.152584,143.362249
"187253",3594,"NYAH",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.152584,143.362249
"187256",3594,"NYAH",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.152584,143.362249
"187257",3594,"NYAH",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-35.152584,143.362249
"187263",3594,"NYAH",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.152584,143.362249
"187272",3594,"NYAH",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-35.152584,143.362249
"187275",3594,"NYAH",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.152584,143.362249
"187294",3595,"NYAH WEST",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.187893,143.348862
"187305",3595,"NYAH WEST",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.187893,143.348862
"187306",3595,"NYAH WEST",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-35.187893,143.348862
"187342",3595,"NYAH WEST",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.187893,143.348862
"187370",3595,"NYAH WEST",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.187893,143.348862
"187378",3595,"NYAH WEST",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-35.187893,143.348862
"187381",3595,"NYAH WEST",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-35.187893,143.348862
"187401",3595,"NYAH WEST",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-35.187893,143.348862
"187415",3595,"NYAH WEST",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.187893,143.348862
"187426",3596,"WOOD WOOD",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.10186,143.344549
"187457",3597,"LAKE POWELL",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-34.714363,142.942108
"187485",3597,"PIANGIL",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.053788,143.31327
"187497",3597,"PIANGIL",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.053788,143.31327
"187511",3597,"PIANGIL",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-35.053788,143.31327
"187512",3597,"PIANGIL",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.053788,143.31327
"187523",3597,"PIANGIL",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-35.053788,143.31327
"187529",3599,"BOUNDARY BEND",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-34.742098,143.144838
"187531",3599,"BOUNDARY BEND",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-34.742098,143.144838
"187545",3599,"BOUNDARY BEND",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-34.742098,143.144838
"187574",3599,"BOUNDARY BEND",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-34.742098,143.144838
"187577",3607,"TABILK",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.846437,145.199887
"187601",3607,"TABILK",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.846437,145.199887
"187610",3607,"TABILK",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.846437,145.199887
"187619",3607,"TABILK",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.846437,145.199887
"187633",3608,"BAILIESTON",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.699872,145.034359
"187664",3608,"GRAYTOWN",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.815207,144.955389
"187675",3608,"GRAYTOWN",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.815207,144.955389
"187741",3608,"NAGAMBIE",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187753",3608,"NAGAMBIE",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.78568,145.153795
"187779",3608,"NAGAMBIE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.78568,145.153795
"187803",3608,"NAGAMBIE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.78568,145.153795
"187825",3608,"NAGAMBIE",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.78568,145.153795
"187833",3608,"NAGAMBIE",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187838",3608,"NAGAMBIE",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187850",3608,"NAGAMBIE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.78568,145.153795
"187863",3608,"NAGAMBIE",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-36.78568,145.153795
"187876",3608,"NAGAMBIE",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187887",3608,"NAGAMBIE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",478,-36.78568,145.153795
"187911",3608,"NAGAMBIE",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.78568,145.153795
"187916",3608,"NAGAMBIE",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-36.78568,145.153795
"187936",3608,"NAGAMBIE",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187938",3608,"NAGAMBIE",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-36.78568,145.153795
"187945",3608,"NAGAMBIE",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.78568,145.153795
"187949",3608,"NAGAMBIE",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.78568,145.153795
"187950",3608,"NAGAMBIE",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.78568,145.153795
"187952",3608,"NAGAMBIE",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187955",3608,"NAGAMBIE",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",601,-36.78568,145.153795
"187959",3608,"NAGAMBIE",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-36.78568,145.153795
"187961",3608,"NAGAMBIE",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.78568,145.153795
"187975",3608,"NAGAMBIE",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-36.78568,145.153795
"187980",3608,"NAGAMBIE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.78568,145.153795
"187986",3608,"NAGAMBIE",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-36.78568,145.153795
"188045",3610,"DHURRINGILE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.542846,145.277533
"188066",3610,"DHURRINGILE",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.542846,145.277533
"188082",3610,"DHURRINGILE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.542846,145.277533
"188125",3610,"MURCHISON",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-36.61912,145.217631
"188143",3610,"MURCHISON",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.61912,145.217631
"188147",3610,"MURCHISON",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.61912,145.217631
"188155",3610,"MURCHISON",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.61912,145.217631
"188161",3610,"MURCHISON",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-36.61912,145.217631
"188176",3610,"MURCHISON",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.61912,145.217631
"188179",3610,"MURCHISON",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.61912,145.217631
"188186",3610,"MURCHISON",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.61912,145.217631
"188199",3610,"MURCHISON",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",549,-36.61912,145.217631
"188208",3610,"MURCHISON",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.61912,145.217631
"188232",3610,"MURCHISON",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.61912,145.217631
"188238",3610,"MURCHISON",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.61912,145.217631
"188248",3610,"MURCHISON",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-36.61912,145.217631
"188273",3610,"MURCHISON",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.61912,145.217631
"188280",3610,"MURCHISON EAST",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.615276,145.240441
"188285",3610,"MURCHISON EAST",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.615276,145.240441
"188287",3610,"MURCHISON EAST",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.615276,145.240441
"188301",3610,"MURCHISON EAST",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.615276,145.240441
"188304",3610,"MURCHISON EAST",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.615276,145.240441
"188307",3610,"MURCHISON EAST",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.615276,145.240441
"188314",3610,"MURCHISON EAST",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.615276,145.240441
"188329",3610,"MURCHISON EAST",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.615276,145.240441
"188334",3610,"MURCHISON EAST",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.615276,145.240441
"188346",3610,"MURCHISON EAST",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-36.615276,145.240441
"188350",3610,"MURCHISON EAST",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.615276,145.240441
"188384",3612,"RUSHWORTH",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.585838,145.01552
"188388",3612,"RUSHWORTH",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.585838,145.01552
"188390",3612,"RUSHWORTH",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-36.585838,145.01552
"188397",3612,"RUSHWORTH",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.585838,145.01552
"188410",3612,"RUSHWORTH",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.585838,145.01552
"188413",3612,"RUSHWORTH",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.585838,145.01552
"188416",3612,"RUSHWORTH",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",380,-36.585838,145.01552
"188436",3612,"RUSHWORTH",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.585838,145.01552
"188438",3612,"RUSHWORTH",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-36.585838,145.01552
"188440",3612,"RUSHWORTH",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.585838,145.01552
"188502",3612,"RUSHWORTH",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-36.585838,145.01552
"188575",3612,"RUSHWORTH",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-36.585838,145.01552
"188605",3612,"RUSHWORTH",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.585838,145.01552
"188641",3612,"WARANGA",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.535601,145.065066
"188689",3614,"TOOLAMBA",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.484229,145.259357
"188702",3614,"TOOLAMBA",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.484229,145.259357
"188759",3614,"TOOLAMBA",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-36.484229,145.259357
"188764",3614,"TOOLAMBA",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-36.484229,145.259357
"188766",3614,"TOOLAMBA",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-36.484229,145.259357
"188782",3616,"COOMA",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.421146,145.068244
"188808",3616,"GIRGARRE EAST",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-36.443573,145.068304
